0	113
0	112
0	111 6
0	1 103
0	28
0	52
0	76
0	1
0	104
0	52 72 1 105
0	49 106
0	107 57 62 100
1	386 201 350 348 117
1	117 120 122 202 390 392 391 388 387 389
1	134 135 119 117
1	117 395 393 201 394 202 145 235 234 233 195 232 399 396 397 398
1	347 346 326 350 348 349 351 352 353 249 117 355 354 357 356 141 139 358 359 360 137 361 362 363 364 336 344
1	335 334 333 340 339 338 337 342 341 202 345 128 207
1	344 343 319 320 322 323 324 321 318
1	326 117
2	469
2	99
2	367 454
2	465 383
2	470 184 385
2	99
2	99
2	99 467 379 366 383
2	383 99 468 99 446 476 475 385 477 99 466 383 465
2	383 465 465 383 99 454 99 383
2	444 99
2	474 454 99 385
2	99 385 184 472
2	383 472 99
3	489 494
3	490 480
3	481 494 478 483
3	497
3	504
3	479
3	483
3	484
3	482
3	500
3	499
3	498
3	497 502 87
3	494 504
